version,GO_ID,present_in_C5,C5_XML_order,C5_standard_name,C5_systematic_name
5.0,GO:0051716,1,698,CELLULAR_RESPONSE_TO_STIMULUS,M4602
5.0,GO:0060255,0,,,
5.0,GO:0065007,0,,,
5.0,GO:0065008,1,234,REGULATION_OF_BIOLOGICAL_QUALITY,M10930
5.0,GO:0065009,1,342,REGULATION_OF_MOLECULAR_FUNCTION,M4014
5.0,GO:0070062,0,,,
5.0,GO:0071704,0,,,
5.0,GO:0071840,0,,,
5.0,GO:0080090,0,,,
5.0,GO:0097159,0,,,
5.0,GO:1901360,0,,,
5.0,GO:1901363,0,,,
5.0,GO:1902578,0,,,
5.0,GO:1902589,0,,,
5.0,GO:1903506,0,,,
5.0,GO:1903561,0,,,
5.0,GO:2000112,0,,,
5.0,GO:2001141,0,,,
5.1,GO:0003674,0,,,
5.1,GO:0003676,0,,,
5.1,GO:0003723,1,1238,RNA_BINDING,M19517
5.1,GO:0003824,0,,,
5.1,GO:0005488,0,,,
5.1,GO:0005515,0,,,
5.1,GO:0005575,0,,,
5.1,GO:0005634,1,79,NUCLEUS,M19337
5.1,GO:0005654,1,0,NUCLEOPLASM,M12345
5.1,GO:0005737,1,61,CYTOPLASM,M7759
5.1,GO:0005886,1,226,PLASMA_MEMBRANE,M5501
5.1,GO:0006355,1,702,REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT,M2153
5.1,GO:0006464,1,910,PROTEIN_MODIFICATION_PROCESS,M2813
5.1,GO:0006807,1,537,NITROGEN_COMPOUND_METABOLIC_PROCESS,M1799
5.1,GO:0006810,1,724,TRANSPORT,M14881
5.1,GO:0006950,1,597,RESPONSE_TO_STRESS,M14874
5.1,GO:0006996,1,398,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,M15879
5.1,GO:0007165,1,344,SIGNAL_TRANSDUCTION,M5835
5.1,GO:0008150,0,,,
5.1,GO:0008152,0,,,
5.1,GO:0009889,0,,,
5.1,GO:0009891,0,,,
5.1,GO:0009892,1,840,NEGATIVE_REGULATION_OF_METABOLIC_PROCESS,M18683
5.1,GO:0009893,1,666,POSITIVE_REGULATION_OF_METABOLIC_PROCESS,M16554
5.1,GO:0009966,1,473,REGULATION_OF_SIGNAL_TRANSDUCTION,M4879
5.1,GO:0009987,0,,,
5.1,GO:0010468,1,612,REGULATION_OF_GENE_EXPRESSION,M15334
5.1,GO:0010556,0,,,
5.1,GO:0010557,0,,,
5.1,GO:0010604,0,,,
5.1,GO:0010605,0,,,
5.1,GO:0010628,0,,,
5.1,GO:0010646,0,,,
5.1,GO:0016020,1,58,MEMBRANE,M480
5.1,GO:0016043,0,,,
5.1,GO:0016740,0,,,
5.1,GO:0019219,1,885,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,M17032
5.1,GO:0019222,1,853,REGULATION_OF_METABOLIC_PROCESS,M1068
5.1,GO:0019538,1,778,PROTEIN_METABOLIC_PROCESS,M5917
5.1,GO:0023051,0,,,
5.1,GO:0031323,1,600,REGULATION_OF_CELLULAR_METABOLIC_PROCESS,M9753
5.1,GO:0031324,1,262,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,M8184
5.1,GO:0031325,1,821,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,M8363
5.1,GO:0031326,0,,,
5.1,GO:0031328,0,,,
5.1,GO:0031399,1,424,REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,M17904
5.1,GO:0031982,1,73,VESICLE,M2167
5.1,GO:0032268,1,979,REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,M3602
5.1,GO:0032502,0,,,
5.1,GO:0032879,0,,,
5.1,GO:0032991,1,182,MACROMOLECULAR_COMPLEX,M8409
5.1,GO:0034641,0,,,
5.1,GO:0036211,0,,,
5.1,GO:0042221,1,609,RESPONSE_TO_CHEMICAL_STIMULUS,M1649
5.1,GO:0043170,0,,,
5.1,GO:0043226,0,,,
5.1,GO:0043227,0,,,
5.1,GO:0043228,1,70,NON_MEMBRANE_BOUND_ORGANELLE,M6497
5.1,GO:0043229,0,,,
5.1,GO:0043230,0,,,
5.1,GO:0043231,0,,,
5.1,GO:0043232,1,176,INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE,M12713
5.1,GO:0043234,1,204,PROTEIN_COMPLEX,M19928
5.1,GO:0043412,1,723,BIOPOLYMER_MODIFICATION,M19239
5.1,GO:0043933,0,,,
5.1,GO:0044237,0,,,
5.1,GO:0044238,0,,,
5.1,GO:0044260,1,934,CELLULAR_MACROMOLECULE_METABOLIC_PROCESS,M14740
5.1,GO:0044267,1,678,CELLULAR_PROTEIN_METABOLIC_PROCESS,M19562
5.1,GO:0044421,1,107,EXTRACELLULAR_REGION_PART,M18601
5.1,GO:0044422,1,2,ORGANELLE_PART,M1254
5.1,GO:0044424,0,,,
5.1,GO:0044425,1,49,MEMBRANE_PART,M2598
5.1,GO:0044428,1,60,NUCLEAR_PART,M14219
5.1,GO:0044444,1,41,CYTOPLASMIC_PART,M16387
5.1,GO:0044446,1,181,INTRACELLULAR_ORGANELLE_PART,M10000
5.1,GO:0044464,0,,,
5.1,GO:0044699,0,,,
5.1,GO:0044710,0,,,
5.1,GO:0044763,0,,,
5.1,GO:0044765,0,,,
5.1,GO:0044767,0,,,
5.1,GO:0044822,0,,,
5.1,GO:0045935,1,406,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,M2087
5.1,GO:0048518,1,824,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,M12007
5.1,GO:0048519,1,962,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,M2937
5.1,GO:0048522,1,940,POSITIVE_REGULATION_OF_CELLULAR_PROCESS,M7438
5.1,GO:0048523,1,484,NEGATIVE_REGULATION_OF_CELLULAR_PROCESS,M9875
5.1,GO:0048583,1,727,REGULATION_OF_RESPONSE_TO_STIMULUS,M51
5.1,GO:0048584,1,265,POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,M14972
5.1,GO:0050789,0,,,
5.1,GO:0050793,1,491,REGULATION_OF_DEVELOPMENTAL_PROCESS,M14559
5.1,GO:0050794,0,,,
5.1,GO:0050896,0,,,
5.1,GO:0051128,1,525,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,M12667
5.1,GO:0051171,0,,,
5.1,GO:0051173,0,,,
5.1,GO:0051179,0,,,
5.1,GO:0051234,1,299,ESTABLISHMENT_OF_LOCALIZATION,M7108
5.1,GO:0051239,1,975,REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,M7215
5.1,GO:0051246,1,472,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,M19683
5.1,GO:0051252,1,927,REGULATION_OF_RNA_METABOLIC_PROCESS,M13969
5.1,GO:0051254,1,414,POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,M14607
5.1,GO:0051716,1,698,CELLULAR_RESPONSE_TO_STIMULUS,M4602
5.1,GO:0060255,0,,,
5.1,GO:0065007,0,,,
5.1,GO:0065008,1,234,REGULATION_OF_BIOLOGICAL_QUALITY,M10930
5.1,GO:0065009,1,342,REGULATION_OF_MOLECULAR_FUNCTION,M4014
5.1,GO:0070062,0,,,
5.1,GO:0071704,0,,,
5.1,GO:0071840,0,,,
5.1,GO:0080090,0,,,
5.1,GO:0097159,0,,,
5.1,GO:1901360,0,,,
5.1,GO:1901363,0,,,
5.1,GO:1902578,0,,,
5.1,GO:1902589,0,,,
5.1,GO:1903506,0,,,
5.1,GO:1903561,0,,,
5.1,GO:2000112,0,,,
5.1,GO:2001141,0,,,
5.2,GO:0003674,0,,,
5.2,GO:0003676,0,,,
5.2,GO:0003723,1,17983,GO_RNA_BINDING,M19180
5.2,GO:0003824,0,,,
5.2,GO:0005488,0,,,
5.2,GO:0005515,0,,,
5.2,GO:0005575,0,,,
5.2,GO:0005634,0,,,
5.2,GO:0005654,0,,,
5.2,GO:0005737,0,,,
5.2,GO:0005886,0,,,
5.2,GO:0006355,0,,,
5.2,GO:0006464,0,,,
5.2,GO:0006807,0,,,
5.2,GO:0006810,0,,,
5.2,GO:0006950,0,,,
5.2,GO:0006996,0,,,
5.2,GO:0007165,0,,,
5.2,GO:0008150,0,,,
5.2,GO:0008152,0,,,
5.2,GO:0009889,0,,,
5.2,GO:0009891,1,12777,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,M11409
5.2,GO:0009892,0,,,
5.2,GO:0009893,0,,,
5.2,GO:0009966,0,,,
5.2,GO:0009987,0,,,
5.2,GO:0010468,0,,,
5.2,GO:0010556,0,,,
5.2,GO:0010557,0,,,
5.2,GO:0010604,0,,,
5.2,GO:0010605,0,,,
5.2,GO:0010628,1,13030,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,M11802
5.2,GO:0010646,0,,,
5.2,GO:0016020,0,,,
5.2,GO:0016043,0,,,
5.2,GO:0016740,0,,,
5.2,GO:0019219,0,,,
5.2,GO:0019222,0,,,
5.2,GO:0019538,0,,,
5.2,GO:0023051,0,,,
5.2,GO:0031323,0,,,
5.2,GO:0031324,0,,,
5.2,GO:0031325,0,,,
5.2,GO:0031326,0,,,
5.2,GO:0031328,0,,,
