version,scope,label_column,best_mismatches,best_agreement,best_set_names,best_set_tie_count
5.1,C5,46,1238,0.7099343955014058,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,C5,47,1264,0.703842549203374,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,C5,48,919,0.784676663542643,GTPASE_ACTIVITY,1
5.1,C5,49,818,0.8083411433926898,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,1
5.1,C5,50,1113,0.7392221180880975,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,C5,51,1006,0.7642924086223055,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,C5,52,1348,0.6841611996251171,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,C5,53,1332,0.6879100281162136,REGULATION_OF_METABOLIC_PROCESS,1
5.1,C5,54,803,0.8118556701030928,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,C5,55,790,0.8149015932521086,TRANSCRIPTION,1
5.1,C5,56,656,0.8462980318650422,REGULATION_OF_CELL_DIFFERENTIATION,1
5.1,C5,57,578,0.8645735707591378,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,3
5.1,C5,58,572,0.865979381443299,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,1
5.1,C5,59,667,0.8437207122774133,TRANSCRIPTION,1
5.1,C5,60,1412,0.669165885660731,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,C5,61,575,0.8652764761012184,TRANSPORT,1
5.1,C5,62,757,0.8226335520149953,REGULATION_OF_TRANSPORT,1
5.1,C5,63,592,0.8612933458294283,PROTEIN_MODIFICATION_PROCESS,1
5.1,C5,64,710,0.8336457357075914,RESPONSE_TO_DNA_DAMAGE_STIMULUS,1
5.1,C5,65,493,0.8844892221180881,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,1
5.1,C5,66,1852,0.5660731021555764,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,C5,67,1150,0.7305529522024368,MEMBRANE,1
5.1,C5,68,1324,0.689784442361762,ORGANELLE_PART,1
5.1,C5,69,858,0.7989690721649485,PROTEIN_COMPLEX,1
5.1,C5,70,919,0.784676663542643,GTPASE_ACTIVITY,1
5.1,C5,71,565,0.8676194939081537,NUCLEOLUS,1
5.1,C5,72,554,0.8701968134957826,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.1,C5,73,913,0.7860824742268041,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,C5,74,664,0.8444236176194939,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,C5,75,701,0.8357544517338331,TRANSPORT,1
5.1,C5,76,1046,0.7549203373945642,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,C5,77,497,0.883552014995314,DNA_REPAIR,1
5.1,C5,78,811,0.8099812558575445,REGULATION_OF_GENE_EXPRESSION,1
5.1,C5,79,669,0.8432521087160263,TRANSCRIPTION,1
5.1,C5,80,600,0.85941893158388,PROTEIN_MODIFICATION_PROCESS,1
5.1,C5,81,1826,0.5721649484536082,NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,C5,82,859,0.7987347703842549,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,C5,83,740,0.8266166822867854,PROTEIN_KINASE_ACTIVITY,1
5.1,C5,84,456,0.8931583880037488,TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS,1
5.1,C5,85,2098,0.5084348641049672,CYTOPLASM,1
5.1,C5,86,307,0.9280693533270853,RNA_BINDING,1
5.1,C5,87,986,0.7689784442361762,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,88,869,0.7963917525773196,TRANSCRIPTION,1
5.1,C5,89,671,0.8427835051546392,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,90,590,0.8617619493908154,POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,C5,91,735,0.827788191190253,PROTEIN_MODIFICATION_PROCESS,1
5.1,C5,92,966,0.7736644798500468,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,C5,93,626,0.8533270852858481,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.1,C5,94,815,0.8090440487347703,ORGAN_DEVELOPMENT,1
5.1,C5,95,1016,0.7619493908153702,BIOPOLYMER_MODIFICATION,1
5.1,C5,96,599,0.8596532333645736,RESPONSE_TO_STRESS,1
5.1,C5,97,1309,0.6932989690721649,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,C5,98,1402,0.6715089034676663,REGULATION_OF_METABOLIC_PROCESS,1
5.1,C5,99,1008,0.7638238050609185,VESICLE,1
5.1,C5,100,1481,0.6529990627928772,NUCLEUS,1
5.1,C5,101,823,0.8071696344892221,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,C5,102,684,0.8397375820056232,MEMBRANE_PART,1
5.1,C5,103,1049,0.7542174320524836,POSITIVE_REGULATION_OF_METABOLIC_PROCESS,1
5.1,C5,104,664,0.8444236176194939,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,105,1051,0.7537488284910965,RESPONSE_TO_STRESS,1
5.1,C5,106,1082,0.746485473289597,CYTOSKELETAL_PROTEIN_BINDING,1
5.1,C5,107,604,0.8584817244611059,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,C5,108,1297,0.6961105904404874,INTRACELLULAR_ORGANELLE_PART,1
5.1,C5,109,970,0.7727272727272727,CYTOPLASMIC_PART,1
5.1,C5,110,891,0.7912371134020618,NUCLEUS,1
5.1,C5,111,651,0.8474695407685098,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,112,863,0.7977975632614808,REGULATION_OF_GENE_EXPRESSION,1
5.1,C5,113,999,0.7659325210871603,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,114,670,0.8430178069353327,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,C5,115,1336,0.6869728209934396,REGULATION_OF_METABOLIC_PROCESS,1
5.1,C5,116,2738,0.35848172446110593,CYTOPLASM,1
5.1,C5,117,2109,0.5058575445173383,CYTOPLASM,1
5.1,C5,118,2412,0.43486410496719774,CYTOPLASM,1
5.1,C5,119,1639,0.615979381443299,NUCLEUS,1
5.1,C5,120,722,0.830834114339269,TRANSCRIPTION,1
5.1,ALL,0,2030,0.5243673851921274,SIGNAL_TRANSDUCTION,1
5.1,ALL,1,900,0.7891283973758201,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1
5.1,ALL,2,736,0.8275538894095595,CELLULAR_LIPID_METABOLIC_PROCESS,1
5.1,ALL,3,813,0.8095126522961574,DNA_BINDING,1
5.1,ALL,4,492,0.8847235238987816,KAUFFMANN_DNA_REPAIR_GENES,1
5.1,ALL,5,627,0.8530927835051546,DNA_BINDING,1
5.1,ALL,6,839,0.8034208059981256,DNA_BINDING,1
5.1,ALL,7,1247,0.7078256794751641,CYTOPLASM,1
5.1,ALL,8,510,0.880506091846298,CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,9,1048,0.7544517338331771,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,10,607,0.8577788191190253,PROTEIN_MODIFICATION_PROCESS,1
5.1,ALL,11,736,0.8275538894095595,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,ALL,12,2377,0.4430646672914714,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,13,794,0.8139643861293346,CYTOKINE_PRODUCTION,1
5.1,ALL,14,639,0.8502811621368322,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,ALL,15,1165,0.7270384254920337,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,ALL,16,321,0.9247891283973758,RNA_BINDING,1
5.1,ALL,17,523,0.877460168697282,TRANSPORT,1
5.1,ALL,18,1036,0.7572633552014996,NABA_MATRISOME,1
5.1,ALL,19,1359,0.6815838800374883,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,20,676,0.8416119962511714,KEGG_SPLICEOSOME,1
5.1,ALL,21,1941,0.5452202436738519,SIGNAL_TRANSDUCTION,1
5.1,ALL,22,668,0.8434864104967198,TRANSCRIPTION,1
5.1,ALL,23,1048,0.7544517338331771,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,24,565,0.8676194939081537,NUCLEOLUS,1
5.1,ALL,25,1953,0.5424086223055296,CYTOPLASM,1
5.1,ALL,26,2053,0.5189784442361762,CYTOPLASM,1
5.1,ALL,27,850,0.8008434864104967,NUCLEUS,1
5.1,ALL,28,2276,0.46672914714151825,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,29,619,0.854967197750703,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,30,2152,0.4957825679475164,SIGNAL_TRANSDUCTION,1
5.1,ALL,31,570,0.866447985004686,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,1
5.1,ALL,32,2896,0.3214620431115276,CYTOPLASM,1
5.1,ALL,33,642,0.8495782567947516,RESPONSE_TO_HORMONE_STIMULUS|RESPONSE_TO_ORGANIC_SUBSTANCE,2
5.1,ALL,34,769,0.819821930646673,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,3
5.1,ALL,35,993,0.7673383317713215,MACROMOLECULAR_COMPLEX,1
5.1,ALL,36,713,0.8329428303655108,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,37,706,0.8345829428303655,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS|NEGATIVE_REGULATION_OF_METABOLIC_PROCESS,2
5.1,ALL,38,1307,0.6937675726335519,REGULATION_OF_METABOLIC_PROCESS,1
5.1,ALL,39,592,0.8612933458294283,PROTEIN_MODIFICATION_PROCESS,1
5.1,ALL,40,549,0.8713683223992502,DNA_REPAIR|KAUFFMANN_DNA_REPAIR_GENES,2
5.1,ALL,41,835,0.8043580131208997,ORGAN_DEVELOPMENT,1
5.1,ALL,42,686,0.8392689784442362,REGULATION_OF_MOLECULAR_FUNCTION,1
5.1,ALL,43,789,0.8151358950328023,REGULATION_OF_BIOLOGICAL_QUALITY,1
5.1,ALL,44,542,0.873008434864105,PID_ECADHERIN_KERATINOCYTE_PATHWAY|REACTOME_PECAM1_INTERACTIONS,2
5.1,ALL,45,877,0.7945173383317713,REGULATION_OF_GENE_EXPRESSION,1
5.1,ALL,46,1238,0.7099343955014058,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,47,1264,0.703842549203374,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,48,905,0.7879568884723525,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1
5.1,ALL,49,818,0.8083411433926898,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,1
5.1,ALL,50,1113,0.7392221180880975,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,ALL,51,1006,0.7642924086223055,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,ALL,52,1348,0.6841611996251171,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,ALL,53,1332,0.6879100281162136,REGULATION_OF_METABOLIC_PROCESS,1
5.1,ALL,54,803,0.8118556701030928,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,ALL,55,790,0.8149015932521086,TRANSCRIPTION,1
5.1,ALL,56,656,0.8462980318650422,REGULATION_OF_CELL_DIFFERENTIATION,1
5.1,ALL,57,578,0.8645735707591378,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,3
5.1,ALL,58,572,0.865979381443299,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,1
5.1,ALL,59,667,0.8437207122774133,TRANSCRIPTION,1
5.1,ALL,60,1412,0.669165885660731,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.1,ALL,61,575,0.8652764761012184,TRANSPORT,1
5.1,ALL,62,757,0.8226335520149953,REGULATION_OF_TRANSPORT,1
5.1,ALL,63,592,0.8612933458294283,PROTEIN_MODIFICATION_PROCESS,1
5.1,ALL,64,710,0.8336457357075914,RESPONSE_TO_DNA_DAMAGE_STIMULUS,1
5.1,ALL,65,493,0.8844892221180881,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,1
5.1,ALL,66,1852,0.5660731021555764,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,67,1150,0.7305529522024368,MEMBRANE,1
5.1,ALL,68,1324,0.689784442361762,ORGANELLE_PART,1
5.1,ALL,69,858,0.7989690721649485,PROTEIN_COMPLEX,1
5.1,ALL,70,905,0.7879568884723525,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1
5.1,ALL,71,565,0.8676194939081537,NUCLEOLUS,1
5.1,ALL,72,554,0.8701968134957826,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.1,ALL,73,913,0.7860824742268041,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,ALL,74,664,0.8444236176194939,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,ALL,75,701,0.8357544517338331,TRANSPORT,1
5.1,ALL,76,1046,0.7549203373945642,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,77,497,0.883552014995314,DNA_REPAIR|KAUFFMANN_DNA_REPAIR_GENES,2
5.1,ALL,78,811,0.8099812558575445,REGULATION_OF_GENE_EXPRESSION,1
5.1,ALL,79,669,0.8432521087160263,TRANSCRIPTION,1
5.1,ALL,80,600,0.85941893158388,PROTEIN_MODIFICATION_PROCESS,1
5.1,ALL,81,1826,0.5721649484536082,NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,ALL,82,859,0.7987347703842549,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.1,ALL,83,740,0.8266166822867854,PROTEIN_KINASE_ACTIVITY,1
5.1,ALL,84,456,0.8931583880037488,TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS,1
5.1,ALL,85,2098,0.5084348641049672,CYTOPLASM,1
5.1,ALL,86,307,0.9280693533270853,RNA_BINDING|REACTOME_MRNA_SPLICING,2
5.1,ALL,87,986,0.7689784442361762,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,88,869,0.7963917525773196,TRANSCRIPTION,1
5.1,ALL,89,671,0.8427835051546392,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,90,590,0.8617619493908154,POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,ALL,91,735,0.827788191190253,PROTEIN_MODIFICATION_PROCESS,1
5.1,ALL,92,966,0.7736644798500468,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,93,626,0.8533270852858481,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.1,ALL,94,815,0.8090440487347703,ORGAN_DEVELOPMENT,1
5.1,ALL,95,1016,0.7619493908153702,BIOPOLYMER_MODIFICATION,1
5.1,ALL,96,599,0.8596532333645736,RESPONSE_TO_STRESS,1
5.1,ALL,97,1309,0.6932989690721649,BIOPOLYMER_METABOLIC_PROCESS,1
5.1,ALL,98,1402,0.6715089034676663,REGULATION_OF_METABOLIC_PROCESS,1
5.1,ALL,99,999,0.7659325210871603,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1
5.1,ALL,100,1481,0.6529990627928772,NUCLEUS,1
5.1,ALL,101,823,0.8071696344892221,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.1,ALL,102,684,0.8397375820056232,MEMBRANE_PART,1
5.1,ALL,103,1049,0.7542174320524836,POSITIVE_REGULATION_OF_METABOLIC_PROCESS,1
5.1,ALL,104,664,0.8444236176194939,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,105,1051,0.7537488284910965,RESPONSE_TO_STRESS,1
5.1,ALL,106,1082,0.746485473289597,CYTOSKELETAL_PROTEIN_BINDING,1
5.1,ALL,107,604,0.8584817244611059,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.1,ALL,108,1297,0.6961105904404874,INTRACELLULAR_ORGANELLE_PART,1
5.1,ALL,109,970,0.7727272727272727,CYTOPLASMIC_PART,1
5.1,ALL,110,891,0.7912371134020618,NUCLEUS,1
5.1,ALL,111,651,0.8474695407685098,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,112,863,0.7977975632614808,REGULATION_OF_GENE_EXPRESSION,1
5.1,ALL,113,999,0.7659325210871603,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,114,670,0.8430178069353327,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.1,ALL,115,1336,0.6869728209934396,REGULATION_OF_METABOLIC_PROCESS,1
5.1,ALL,116,2738,0.35848172446110593,CYTOPLASM,1
5.1,ALL,117,2109,0.5058575445173383,CYTOPLASM,1
5.1,ALL,118,2412,0.43486410496719774,CYTOPLASM,1
5.1,ALL,119,1639,0.615979381443299,NUCLEUS,1
5.1,ALL,120,722,0.830834114339269,TRANSCRIPTION,1
5.2,C5,0,1781,0.5827085285848173,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1
5.2,C5,1,909,0.7870196813495782,GO_BLOOD_MICROPARTICLE,1
5.2,C5,2,672,0.8425492033739457,GO_SMALL_MOLECULE_METABOLIC_PROCESS,1
5.2,C5,3,574,0.8655107778819119,GO_RNA_BINDING,1
5.2,C5,4,478,0.8880037488284911,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,1
5.2,C5,5,394,0.9076850984067479,GO_RNA_BINDING,1
5.2,C5,6,600,0.85941893158388,GO_RNA_BINDING,1
5.2,C5,7,1267,0.7031396438612934,GO_KINASE_BINDING,1
5.2,C5,8,433,0.8985473289597001,GO_COVALENT_CHROMATIN_MODIFICATION,1
5.2,C5,9,1051,0.7537488284910965,GO_MACROMOLECULE_CATABOLIC_PROCESS,1
5.2,C5,10,596,0.8603561387066542,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,1
5.2,C5,11,583,0.8634020618556701,GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,1
5.2,C5,12,2312,0.45829428303655106,GO_ENZYME_BINDING,1
5.2,C5,13,562,0.8683223992502342,GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1
5.2,C5,14,381,0.9107310215557638,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,15,959,0.7753045923149016,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,1
5.2,C5,16,60,0.985941893158388,GO_POLY_A_RNA_BINDING,1
5.2,C5,17,533,0.8751171508903468,GO_VACUOLAR_TRANSPORT,1
5.2,C5,18,867,0.7968603561387066,GO_EXTRACELLULAR_SPACE,1
5.2,C5,19,1293,0.6970477975632614,GO_CATABOLIC_PROCESS,1
5.2,C5,20,676,0.8416119962511714,GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY,1
5.2,C5,21,1713,0.5986410496719775,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,22,479,0.8877694470477976,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,1
5.2,C5,23,982,0.7699156513589503,GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,1
5.2,C5,24,434,0.8983130271790065,GO_NUCLEOLUS,1
5.2,C5,25,2098,0.5084348641049672,GO_PROTEIN_LOCALIZATION,1
5.2,C5,26,2173,0.4908622305529522,GO_CYTOSKELETON,1
5.2,C5,27,1062,0.7511715089034676,GO_CHROMOSOME,1
5.2,C5,28,2185,0.48805060918462984,GO_CELLULAR_RESPONSE_TO_STRESS,1
5.2,C5,29,318,0.9254920337394564,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,30,1913,0.5517806935332709,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1
5.2,C5,31,540,0.8734770384254921,GO_VACUOLAR_TRANSPORT,1
5.2,C5,32,2724,0.3617619493908154,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1
5.2,C5,33,568,0.8669165885660731,GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,1
5.2,C5,34,482,0.887066541705717,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,1
5.2,C5,35,988,0.7685098406747891,GO_CATALYTIC_COMPLEX,1
5.2,C5,36,438,0.8973758200562324,GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,1
5.2,C5,37,464,0.8912839737582006,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,1
5.2,C5,38,949,0.7776476101218369,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,39,581,0.8638706654170571,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,1
5.2,C5,40,533,0.8751171508903468,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,1
5.2,C5,41,759,0.8221649484536082,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,1
5.2,C5,42,610,0.8570759137769447,GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,1
5.2,C5,43,721,0.8310684161199625,GO_REGULATION_OF_HOMEOSTATIC_PROCESS,1
5.2,C5,44,536,0.8744142455482662,GO_PLASMA_MEMBRANE_RAFT,1
5.2,C5,45,521,0.8779287722586692,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,46,1205,0.7176663542642925,GO_CELLULAR_CATABOLIC_PROCESS,1
5.2,C5,47,1217,0.71485473289597,GO_CELLULAR_CATABOLIC_PROCESS,1
5.2,C5,48,914,0.7858481724461106,GO_BLOOD_MICROPARTICLE,1
5.2,C5,49,515,0.8793345829428304,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,1
5.2,C5,50,899,0.7893626991565136,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,1
5.2,C5,51,714,0.8327085285848173,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1
5.2,C5,52,1036,0.7572633552014996,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,53,983,0.7696813495782568,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,1
5.2,C5,54,625,0.8535613870665417,GO_POSITIVE_REGULATION_OF_CELL_COMMUNICATION,1
5.2,C5,55,570,0.866447985004686,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,56,482,0.887066541705717,GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,1
5.2,C5,57,341,0.9201030927835052,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,1
5.2,C5,58,469,0.8901124648547329,GO_CHROMATIN_MODIFICATION,1
5.2,C5,59,478,0.8880037488284911,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,1
5.2,C5,60,1108,0.7403936269915652,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,61,534,0.8748828491096532,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,1
5.2,C5,62,545,0.8723055295220243,GO_REGULATION_OF_CELLULAR_LOCALIZATION,1
5.2,C5,63,581,0.8638706654170571,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,1
5.2,C5,64,605,0.8582474226804124,GO_CELLULAR_RESPONSE_TO_STRESS,1
5.2,C5,65,467,0.89058106841612,GO_VACUOLAR_TRANSPORT,1
5.2,C5,66,1750,0.5899718837863168,GO_MOVEMENT_OF_CELL_OR_SUBCELLULAR_COMPONENT,1
5.2,C5,67,1079,0.7471883786316775,GO_MEMBRANE_REGION,1
5.2,C5,68,1411,0.6694001874414246,GO_CHROMOSOME,1
5.2,C5,69,829,0.805763823805061,GO_CATALYTIC_COMPLEX,1
5.2,C5,70,914,0.7858481724461106,GO_BLOOD_MICROPARTICLE,1
5.2,C5,71,434,0.8983130271790065,GO_NUCLEOLUS,1
5.2,C5,72,349,0.9182286785379569,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,1
5.2,C5,73,638,0.8505154639175257,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,74,360,0.915651358950328,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,75,557,0.869493908153702,GO_PROTEIN_LOCALIZATION,1
5.2,C5,76,980,0.7703842549203375,GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,1
5.2,C5,77,481,0.8873008434864105,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,1
5.2,C5,78,555,0.8699625117150891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,79,482,0.887066541705717,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,1
5.2,C5,80,597,0.8601218369259607,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,1
5.2,C5,81,1652,0.612933458294283,GO_RNA_BINDING,1
5.2,C5,82,624,0.8537956888472352,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1
5.2,C5,83,715,0.8324742268041238,GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,1
